Tijd (s),PWM (%),Doel Hoogte (m),Daadwerkelijke Hoogte (m),Snelheid (m/s)
9.22,0.0,0.576,0.628,-0.173
9.23,0.0,0.576,0.626,-0.271
9.24,10.46,0.576,0.622,-0.33
9.25,100.0,0.576,0.622,-0.058
9.26,0.0,0.576,0.62,-0.156
9.27,0.0,0.576,0.618,-0.254
9.28,55.13,0.576,0.616,-0.148
9.29,0.0,0.576,0.614,-0.246
9.3,77.86,0.576,0.613,-0.056
9.31,0.0,0.576,0.611,-0.154
9.32,0.0,0.576,0.609,-0.252
9.33,100.0,0.576,0.609,0.02
9.34,0.0,0.576,0.608,-0.078
9.35,0.0,0.576,0.607,-0.176
9.36,5.24,0.576,0.604,-0.255
9.37,100.0,0.576,0.604,0.017
9.38,0.0,0.576,0.603,-0.081
9.39,0.0,0.576,0.602,-0.179
9.4,59.11,0.576,0.601,-0.058
9.41,0.0,0.576,0.599,-0.156
9.42,34.59,0.576,0.598,-0.126
9.43,0.0,0.576,0.596,-0.224
9.44,100.0,0.576,0.596,0.048
9.45,0.0,0.576,0.596,-0.05
9.46,0.0,0.576,0.594,-0.148
9.47,67.63,0.576,0.595,0.004
9.48,0.0,0.576,0.594,-0.094
9.49,0.0,0.576,0.592,-0.192
9.5,100.0,0.576,0.592,0.08
9.51,0.0,0.576,0.592,-0.018
9.52,0.0,0.576,0.591,-0.116
9.53,35.56,0.576,0.59,-0.082
9.54,0.0,0.576,0.589,-0.18
9.55,100.0,0.576,0.589,0.092
9.56,0.0,0.576,0.589,-0.006
9.57,0.0,0.576,0.588,-0.104
9.58,39.88,0.576,0.588,-0.055
9.59,0.0,0.576,0.586,-0.153
9.6,100.0,0.576,0.587,0.119
9.61,0.0,0.576,0.588,0.021
9.62,0.0,0.576,0.587,-0.077
9.63,0.0,0.576,0.585,-0.175
9.64,100.0,0.576,0.586,0.097
9.65,0.0,0.576,0.586,-0.001
9.66,0.0,0.576,0.585,-0.099
9.67,59.81,0.576,0.585,0.025
9.68,0.0,0.576,0.585,-0.073
9.69,13.86,0.576,0.583,-0.12
9.7,100.0,0.576,0.585,0.152
9.71,0.0,0.576,0.586,0.054
9.72,0.0,0.576,0.585,-0.044
9.73,0.0,0.576,0.584,-0.142
9.74,100.0,0.576,0.585,0.13
9.75,0.0,0.576,0.585,0.032
9.76,0.0,0.576,0.585,-0.066
9.77,0.0,0.576,0.583,-0.164
9.78,100.0,0.576,0.584,0.108
9.79,0.0,0.576,0.584,0.01
9.8,0.0,0.576,0.583,-0.088
9.81,56.26,0.576,0.583,0.022
9.82,0.0,0.576,0.583,-0.076
9.83,37.17,0.576,0.582,-0.036
9.84,0.0,0.576,0.581,-0.135
9.85,100.0,0.576,0.582,0.138
9.86,0.0,0.576,0.583,0.04
9.87,0.0,0.576,0.582,-0.058
9.88,7.0,0.576,0.581,-0.131
9.89,100.0,0.576,0.582,0.142
9.9,0.0,0.576,0.583,0.044
9.91,0.0,0.576,0.582,-0.055
9.92,0.0,0.576,0.581,-0.153
9.93,100.0,0.576,0.582,0.12
9.94,0.0,0.576,0.582,0.022
9.95,0.0,0.576,0.581,-0.077
9.96,51.58,0.576,0.581,0.016
9.97,0.0,0.576,0.581,-0.082
9.98,68.37,0.576,0.581,0.073
9.99,0.0,0.576,0.581,-0.025
10.0,0.0,0.576,0.58,-0.123
10.01,100.0,0.576,0.581,0.149
